,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,cpo,num_accident,usage_type,title,num_owner
5612,2013,Volkswagen,Jetta,TDI SportWagen DSG,Winchester,VA,62731,8722,Black,Tan,29.0,39.0,2.0L Inline-4 Diesel Turbocharged,Automatic,FWD,Diesel,[],False,0,Personal or Rental Use,Clean,2
5613,2017,Mercedes-Benz,Metris,"Standard Roof 126"" Wheelbase",Scottsdale,AZ,41689,24000,Brilliant Silver Metallic,Black,20.0,23.0,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,[],False,0,Personal or Rental Use,Clean,2
5614,2017,BMW,X1,xDrive28i AWD,Morristown,NJ,29428,22994,Jet Black,Black,22.0,31.0,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,[],True,0,Personal or Rental Use,Clean,1
5615,2014,Chevrolet,Volt,Hatch,Antioch,IL,10252,14723,Ashen Grey Metallic,Jet Black Seats/Dark Accents,101.0,93.0,1.4L Inline-4 Plug-In,Automatic,FWD,Plug-In,"['Remote Engine Start', 'Bluetooth', 'Cruise Control']",False,0,Personal or Rental Use,Clean,1
5616,2014,Ford,Fusion,SE FWD,Winston Salem,NC,143798,6750,Tuxedo Black Metallic,Tan,22.0,34.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth']",False,1,Fleet or Mixed Use,Clean,3
5617,2017,Volkswagen,Jetta,1.4T SE Auto,Columbia,SC,19500,13500,Pure White,Titan Black,28.0,38.0,1.4L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Moonroof', 'Cruise Control', 'Backup Camera', 'Front Heated Seats', 'Blind Spot System', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
5618,2015,Dodge,Grand,SXT,Tuscon,AZ,90000,8778,Granite Crystal Metallic Clearcoat,Black/Light Graystone,17.0,25.0,3.6L V-6 Gas,Automatic,FWD,Gas,"['Power Trunk/Liftgate', 'Backup Camera', 'Cruise Control']",False,0,Personal or Rental Use,Clean,3
5619,2012,Buick,LaCrosse,Leather FWD,Murfreesboro,TN,124260,6999,White Diamond Tricoat,Titanium,25.0,36.0,3.6L V-6 Gas,Automatic,FWD,Gas,"['Front Heated Seats', 'Cruise Control', 'Remote Engine Start', 'Bluetooth']",False,1,Fleet or Mixed Use,Clean,3
5620,2012,Hyundai,Tucson,GLS FWD Automatic,Surprise,AZ,121764,5488,Diamond Silver,Black,21.0,30.0,2.4L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth']",False,0,Fleet or Mixed Use,Clean,3
5621,2012,Mazda,Mazda6,i Touring Automatic,Pensacola,FL,147459,4788,Ingot Silver,Black,22.0,31.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth']",False,3,Fleet or Mixed Use,Clean,4
5622,2014,Ram,1500,"Express Quad Cab 6'4"" Box 2WD",St Francisville,LA,89550,13999,Black Clearcoat,Diesel Gray/Black,17.0,25.0,5.7L V-8 Gas,Automatic,RWD,Gas,['Cruise Control'],False,0,Personal or Rental Use,Clean,3
5623,2018,Ford,Focus,SE Sedan,Pembroke Pines,FL,24334,10590,Shadow Black,Medium Light Stone,30.0,40.0,2.0L Inline-4 Gas Turbocharged,Manual,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,1,Personal or Rental Use,Clean,1
5624,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Georgetown,TX,29284,26385,Oxford White,Medium Earth Gray,16.0,22.0,5.0L V-8 Gas,Automatic,4WD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Personal or Rental Use,Clean,1
