,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,cpo,num_accident,usage_type,title,num_owner
1495,2016,Chevrolet,"['City', 'Express', 'Cargo', 'Van']",LT,Roseville,MI,150782,8400,Designer White,Medium Pewter,24.0,26.0,2.0L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
1496,2016,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,Pittsburgh,PA,64152,23097,Silver,Gray,17.0,23.0,3.5L V-6 Gas,Automatic,4WD,Gas,[],False,0,Fleet or Mixed Use,Clean,1
1497,2013,MINI,['Countryman'],S FWD,Peyton,CO,67190,8900,Absolute Black Metallic,Carbon Black,26.0,32.0,1.6L Inline-4 Gas Turbocharged,Manual,FWD,Gas,[],False,1,Personal or Rental Use,Clean,2
1498,2012,Maserati,['Quattroporte'],S,Scottsdale,AZ,75728,21900,Nero Carbonio (Black),Nero (Black),12.0,19.0,4.7L V-8 Gas,Automatic,RWD,Gas,[],False,0,Personal or Rental Use,Clean,3
1499,2010,BMW,['X5'],xDrive35d AWD,Naples,FL,171654,6900,Titanium Silver Metallic,Black,19.0,26.0,3.0L Inline-6 Diesel Turbocharged,Automatic,AWD,Diesel,[],False,0,Personal or Rental Use,Clean,2
1500,2008,Pontiac,['G6'],4dr Sedan,Spokane,WA,217000,1895,White Diamond Tricoat,Gray,22.0,30.0,3.5L V-6 Gas,Automatic,FWD,Gas,[],False,0,Fleet or Mixed Use,Clean,3
1501,2015,Kia,['Optima'],LX,Greenland,NH,39793,9325,Satin Metal,Beige,23.0,34.0,2.4L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth']",False,0,Personal or Rental Use,Clean,2
1502,2013,Ford,['F-150'],XLT SuperCrew 5.5' Box 2WD,Grove City,OH,124732,11450,Oxford White,Steel Gray,17.0,23.0,5.0L V-8 Gas,Automatic,RWD,Gas,[],False,0,Personal or Rental Use,Clean,3
1503,2017,BMW,['i3'],94 Ah with Range Extender,San Antonio,TX,20019,18962,Capparis White W/Bmw I Frozen Blue Accent,Deka Gray/Blue Highlight,101.13432835820895,89.80597014925374,0.6L Inline-2 Plug-In,Automatic,RWD,Plug-In,[],True,0,Personal or Rental Use,Clean,1
1504,2016,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,Gresham,OR,93095,19918,Ingot Silver Metallic,Black Seats,17.0,23.0,2.7L V-6 Gas Turbocharged,Automatic,4WD,Gas,[],False,0,Fleet or Mixed Use,Clean,3
1505,2019,Nissan,['Altima'],SR FWD,Philadelphia,PA,39022,15995,Gun Metallic,Sport,27.0,37.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Remote Engine Start', 'Blind Spot System', 'Bluetooth', 'Cruise Control', 'Backup Camera']",False,1,Fleet or Mixed Use,Clean,1
1506,2019,Toyota,['Camry'],SE Automatic,Jacksonville,NC,11888,19326,Predawn Gray Mica,Black,28.0,39.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,[],False,0,Personal or Rental Use,Clean,1
1507,2014,BMW,"['6', 'Series']",650i Coupe,Concord,NC,79371,22979,Black Sapphire Metallic,Black,17.0,25.0,4.4L V-8 Gas Turbocharged,Automatic,RWD,Gas,[],False,0,Personal or Rental Use,Clean,1
1508,2017,Ford,['Fusion'],SE FWD,Upland,CA,28058,14780,Ingot Silver,Ebony,21.0,32.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Navigation', 'Cruise Control', 'Lane Keep Assist', 'Bluetooth', 'Remote Engine Start', 'Blind Spot System', 'Backup Camera']",False,0,Personal or Rental Use,Clean,1
1509,2016,Toyota,['Corolla'],LE CVT,Conyers,GA,59154,9900,White,Black,29.0,38.0,1.8L Inline-4 Gas,Automatic,FWD,Gas,[],False,0,Fleet or Mixed Use,Clean,1
1510,2017,Ford,['Escape'],SE 4WD,Katy,TX,87420,11895,Oxford White,Medium Light Stone,22.0,28.0,2.0L Inline-4 Gas Turbocharged,Automatic,4WD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Personal or Rental Use,Clean,2
1511,2015,Ford,"['Super', 'Duty', 'F-350']","XLT Crew Cab 156"" 4WD",Ontario,OR,61673,29987,Oxford White,Steel,29.0,28.66048109965636,6.2L V-8 Gas,Automatic,4WD,Gas,[],False,0,Fleet or Mixed Use,Clean,1
1512,2008,Pontiac,['G6'],4dr Sedan,Boaz,AL,199654,2900,Blue-Gold Crystal Metallic,Beige,22.0,30.0,3.5L V-6 Gas,Automatic,FWD,Gas,[],False,1,Fleet or Mixed Use,Theft Recovered,3
1513,2017,Toyota,['Corolla'],L CVT,Duluth,GA,35755,11985,Gray,Unknown,28.0,36.0,1.8L Inline-4 Gas,Automatic,FWD,Gas,[],False,0,Personal or Rental Use,Clean,1
1514,2017,Hyundai,['Elantra'],SE 2.0L Sedan Automatic (alt),Saint Augustine,FL,76176,8888,Lakeside Blue,Gray,29.0,38.0,2.0L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth']",False,0,Fleet or Mixed Use,Clean,3
1515,2013,Nissan,['Rogue'],SL FWD,Corpus Christi,TX,168674,6677,Super Black,Gray,23.0,28.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Moonroof', 'Front Heated Seats', 'Backup Camera', 'Navigation', 'Cruise Control', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
1516,2019,Ford,"['Super', 'Duty', 'F-250']",Lariat 4WD Crew Cab 6.75' Box,Raynham,MA,46699,38250,Magnetic Metallic,Black,29.0,28.66048109965636,6.2L V-8 Gas,Automatic,4WD,Gas,[],False,0,Personal or Rental Use,Clean,1
1517,2014,BMW,"['3', 'Series']",328i Sedan,Katy,TX,44888,11472,Jet Black,Tan,23.0,35.0,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,[],False,0,Fleet or Mixed Use,Clean,2
1518,2013,Ford,['Explorer'],XLT FWD,Chicago,IL,140234,7964,Tuxedo Black Metallic,Xlt,17.0,24.0,3.5L V-6 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth']",False,1,Fleet or Mixed Use,Clean,2
1519,2010,Ford,['Edge'],SE FWD,Cresco,PA,139934,3995,White Suede,Gray,18.0,25.0,3.5L V-6 Gas,Automatic,FWD,Gas,['Cruise Control'],False,0,Personal or Rental Use,Clean,2
1520,2016,Ram,['1500'],"Sport Crew Cab 6'4"" Box 4WD",Ravenna,OH,126558,18900,Granite Crystal Metallic Clearcoat,Black,15.0,21.0,5.7L V-8 Gas,Automatic,4WD,Gas,"['Moonroof', 'Front Heated Seats', 'Remote Engine Start', 'Backup Camera', 'Navigation', 'Front Cooled Seats', 'Cruise Control', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
1521,2013,Chevrolet,"['Silverado', '2500HD']",LTZ Crew Cab Standard Box 4WD,Spokane Valley,WA,91927,24999,White,Gray,29.0,28.66048109965636,6.0L V-8 Gas,Automatic,4WD,Gas,[],False,0,Personal or Rental Use,Clean,1
1522,2009,Honda,['Accord'],EX-L V6 Coupe Automatic,Denver,CO,196051,4999,Silver,Black,19.0,28.0,3.5L V-6 Gas,Automatic,FWD,Gas,[],False,0,Personal or Rental Use,Clean,3
1523,2019,Chevrolet,['Impala'],LT with 1LT,Miami,FL,10520,15999,Cajun Red Tintcoat,Jet Black,22.0,30.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Remote Engine Start', 'Backup Camera', 'Cruise Control', 'Bluetooth']",False,0,Fleet or Mixed Use,Clean,1
1524,2017,Ford,['Escape'],SE FWD,Jacksonville,FL,29769,17000,Ingot Silver Metallic,Medium Light Stone,23.0,30.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Power Trunk/Liftgate', 'Cruise Control', 'Backup Camera', 'Remote Engine Start', 'Blind Spot System', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
1525,2017,Toyota,['Camry'],XLE I4 Automatic,Brunswick,GA,77495,12829,Creme Brulee Mica,Black,24.0,33.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,[],False,0,Personal or Rental Use,Clean,2
1526,2010,Mazda,['Mazda6'],i Touring Automatic,Bristol,WI,159636,4000,Comet Gray Mica,Black,21.0,30.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,[],False,0,Fleet or Mixed Use,Clean,3
1527,2013,Ford,['Escape'],SE FWD,Slidell,LA,82088,8974,Tuxedo Black,Medium Light Stone,23.0,33.0,1.6L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth']",False,0,Personal or Rental Use,Clean,3
1528,2017,Ford,['Escape'],SE FWD,Fresno,CA,28661,16176,Magnetic Metallic,Charcoal Black,23.0,30.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",True,0,Personal or Rental Use,Clean,1
